ad_id:START_ID(AdCopy),lemma:END_ID(Keyword)
1d0079882a6e4da88a57dcefb43c44b8,"gym new york, fitness center nyc, personal trainer manhattan, weight loss gym, workout classes nyc"
04f0e0d3a5364bee903c0a58134736ad,"gym new york, fitness center nyc, personal trainer manhattan, weight loss gym, workout classes nyc"
779b0a5926c84b07a0ece4cd8b52d2d4,"gym london, fitness london, affordable gym, gym membership london, young professionals gym"
db01c8499f2d44fb9b8a1f5b5f556060,"gym sydney, fitness sydney, personal trainer sydney, weight loss sydney, best gym sydney"
24e287c47092417193fb46ca9aefad71,"gym sydney, fitness sydney, personal trainer sydney, weight loss sydney, best gym sydney"
2cdcc1b2043c4d5e8fc10f26fa0d9cd7,"gym paris, fitness paris, personal trainer paris, weight loss paris, best gym paris"
062cf716bcdc43beaf48593c1b9cb963,"palestra studenti roma, fitness student roma, gym near university roma, economica palestra roma studenti, sconti palestra studenti"
25378dc96ff7406e9f93c0cbd16edce7,"student gym london, cheap gym london students, university gym membership, fitness london students, student discounts gym"
4419340e39984a78bd295cb29c22ac01,"student gym paris, cheap gym paris students, fitness student paris, gym membership students paris, affordable gym paris"
2a1ac12503e24f428941581b454987ad,"gym rome, fitness center rome, personal trainer rome, gym membership rome, workout rome"
11c1b1b0f9ec454ab04f87133b69138f,"gym paris étudiant, salle de sport étudiant paris, abonnement étudiant fitness paris, remise étudiant salle sport paris, fitness pas cher étudiant paris"
d3c87fab12e443879ad8e1e7176274de,"gym los angeles, fitness center los angeles, workout los angeles, health club los angeles, personal trainer los angeles"
32df90f0a4b8498d8a77c217e1234923,"gym los angeles, fitness center los angeles, personal trainer los angeles, weight loss los angeles, health club los angeles"
594f710934df46a19ae3468015216813,"gym los angeles, fitness center los angeles, personal trainer los angeles, weight loss los angeles, health club los angeles"
215036c472ad4d80ab8c7ef79d435c2a,"gym los angeles, fitness center los angeles, personal trainer los angeles, weight loss los angeles, health club los angeles"
ce00e648270442e5bde5e1473ec96d19,"fitness studio berlin, gym berlin, personal trainer berlin, weight loss berlin, health club berlin"
232105527ed8458193d66d2c621d8199,"gym new york, fitness center nyc, personal trainer manhattan, weight loss gym, health club membership"
6b37a1c923274ec18c31912aaeb9234d,"student gym new york, cheap gym near college, affordable gym nyc students, university gym membership, fitness deals students nyc"
ad3e381ffdb847f0acda15caeca1ff4a,"fitness studio berlin, gym berlin, personal trainer berlin, workout classes berlin, fitness center berlin"
a3c7ec2a1c7d46ec82a41407e30387c0,"fitness studio munich, gym munich, personal trainer munich, workout munich, fitness center munich"
4d12593ef7864972a6f775691bac3de4,"student gym new york, cheap gym near college, fitness deals students, university gym membership, affordable gym nyc students"
d3926e703bec4931bd65612ca8ccc3bb,"gym los angeles, fitness los angeles, workout los angeles, personal trainer los angeles, affordable gym los angeles"
eb6f474c4be444baaba922622cb15572,"ジム 東京, フィットネス 東京, パーソナルトレーナー 東京, トレーニングジム 東京, ワークアウト 東京"
c22fbba091cf4c05936d964abf6c663a,"fitness studio munich, gym munich, personal trainer munich, health club munich, workout munich"
7f0fae306110443e918444b552737f9a,"fitness studio berlin, gym berlin, personal trainer berlin, workout berlin, health club berlin"
df8fc04b32f3407fa7518c5eebbda56d,"fitness studio berlin, gym berlin, personal trainer berlin, workout berlin, health club berlin"
5ac241067f0a4288aa2c663df7f5cf4f,"palestra roma, fitness roma, gym roma, allenamento roma, personal trainer roma"
f2ab83cbda614821b5b8112905bb47e8,"palestra roma, fitness roma, gym roma, allenamento roma, personal trainer roma"
85ed92323add451c9369dcefe74c6a8c,"gym new york, fitness classes nyc, personal trainer new york, weight loss gym, crossfit gym nyc"
71df961d1394466ab8d6ca12a5bb7c19,"gym toronto, fitness toronto, young professional gym, downtown toronto gym, personal trainer toronto"
7d65b13063a740c684b677ff905318ec,"gym los angeles, fitness center downtown la, personal trainer young professionals, affordable gym membership la, best gym near me"
e44bb97a835e4d658271bf38cb187abd,"student gym london, cheap gym london students, university gym membership, affordable fitness london, student discount gym"
f172d0726e744fd6b25030872bf0d274,"gym sydney, fitness sydney, gym membership sydney, affordable gym sydney, best gym sydney cbd"
20d4228f311e45509ebb3fc60c0c4605,"gym london, fitness london, personal trainer london, gym membership london, fitness classes london"
e663df408e3b42ccb51de058c314b095,"gym los angeles, fitness los angeles young professionals, affordable gym downtown la, best gym near me, workout classes los angeles"
e3313a390a10437685eee802151b8da3,"gym paris, fitness paris, personal training paris, health club paris, weight loss paris"
c0fecb98b7af4b7188b2ed903e4b696f,"fitness studio berlin, gym berlin, personal trainer berlin, workout berlin, fitness classes berlin"
7de54c90f96643208e2e96bbc4e70587,"gym london, fitness london, gym membership london, cheap gym london, young professionals gym london"
f98817631c584f35a320f5180f6e05df,"gym toronto, fitness toronto, personal trainer toronto, weight loss toronto, health club toronto"
dfcc3607997b4857bb812941e0909c07,"gym toronto, fitness toronto, personal trainer toronto, weight loss toronto, health club toronto"
f932903f26aa4691874071a856738e68,"student gym toronto, cheap gym toronto, university gym near me, affordable fitness toronto, student discounts gym"
58b86ba784934d2d86bba0b3b1f20534,"gym los angeles, fitness los angeles, personal trainer los angeles, weight loss los angeles, workout classes los angeles"
c8a60766875f4b30a2035061313fc106,"gym los angeles, fitness center los angeles, personal trainer los angeles, weight loss los angeles, best gym near me"
f3d0d55b61924ea990609908581ee0c5,"ジム 東京, フィットネス 東京, パーソナルトレーニング 東京, トレーニングジム 東京, ダイエット 東京"
d285a9a92f7c4b2d8baf9fe3e0d06ce6,"ジム 東京, フィットネス 東京, パーソナルトレーニング 東京, トレーニングジム 東京, ダイエット 東京"
8f24015260174a4cb09a805f810b918f,"gym los angeles, fitness center downtown la, personal training young professionals, best gym near me, affordable gym la"
d86d7c167c2a43b69a0dbbeb7bacd7b9,"gym new york, fitness center nyc, personal trainer manhattan, weight loss programs nyc, health club brooklyn"
c40e1fb6782b4ac8bc6c4382e78e0c47,"gym new york, fitness center nyc, personal trainer manhattan, group fitness classes, affordable gym membership"
abd5ff27804f4f2a95cc19006a6b13c4,"gym tokyo, fitness tokyo, personal trainer tokyo, yoga studio tokyo, workout classes tokyo"
060fcbc424924a1b8b68398f37aed7e6,"student gym munich, cheap gym munich students, fitness student munich, university gym munich, student discounts gym munich"
92f0b731d4f44df2a91996f6b820b84e,"student gym los angeles, cheap gym near college, university gym membership, fitness deals for students, affordable gym los angeles"
b6f826dc845542b489bd2d135c736355,"gym new york, fitness center manhattan, yoga classes nyc, personal training brooklyn, affordable gym membership"
e5b672b4499747b79e357532ad0b7a6d,"gym los angeles, fitness los angeles, personal trainer los angeles, young professional gym, fitness center downtown la"
789ec64f3a334f1ea8663d1a312d5fde,"gym paris, fitness paris, personal trainer paris, young professionals gym paris, affordable gym paris"
08a2d6a81dbd416682b005b2327de90d,"student gym sydney, cheap gym sydney, university gym, fitness student discount, affordable gym near uni"
b7117e30f12f43368bc6c5a3a6ba528f,"gym london, fitness london, personal trainer london, weight loss london, health club london"
dfeaa3ddf7e249799b25b6d978b02542,"gym london, fitness london, personal trainer london, weight loss london, health club london"
5644765f0dad4aee8c09f3b1fa5232a3,"palestra roma, fitness roma giovani, personal trainer roma, gym vicino a me roma, allenamento funzionale roma"
9f629a9ba8f94c9a96827b60c7aa0d96,"gym paris, fitness paris, personal trainer paris, group fitness classes paris, health club paris"
4927614d8b7343e783d32ad1bde34a71,"student gym toronto, cheap gym near university, fitness deals students, affordable gym toronto, university gym membership"
ddd666cd68f0441aa30be541dc49c434,"gym new york, fitness center nyc, personal trainer nyc, weight loss gym, health club manhattan"
6ba974e909d7465391bdd8b290050eac,"student gym sydney, cheap gym sydney students, university gym near me, affordable fitness sydney, student fitness deals"
29ff321f1e1b4c9aa562de1affdf8a8b,"fitness studio munich, gym near me munich, personal trainer munich, group fitness classes munich, young professionals gym munich"
20cd7e502c1749a3b5510b033a9d9186,"student gym paris, cheap gym paris, fitness student paris, sorbonne gym, paris student fitness"
7076bf43a6314ef7802a619fa4ca3628,"gym london, fitness classes london, personal trainer london, weight loss gym london, best gym near me"
b0c844f08db640d8827215ed4e1ce5d0,"student gym berlin, cheap gym berlin students, fitness student berlin, university gym berlin, student discounts gym berlin"
352c311aa8ff4132a3517c51a67e6e91,"fitness studio berlin, gym berlin, personal trainer berlin, group fitness classes berlin, best gym berlin"
b0b9f469982849d09078050d314fab2f,"student gym paris, gym near university paris, affordable gym paris students, fitness student discount paris, best gym for students paris"
8b46b161e44a4979a22f18a0dbd41fb7,"student gym munich, cheap gym munich students, university gym munich, fitness student deals munich, munich student fitness"
b62ed9a0d7e249d08b1efb86c9ca0695,"gym sydney, fitness sydney, personal trainer sydney, weight loss sydney, gym membership sydney"
99cec0e056fd47bba63bb8c162996a3c,"ジム 東京, フィットネス 東京, パーソナルトレーナー 東京, トレーニングジム 東京, フィットネスクラブ 東京"
f65f246206df4441a1b9e4cac5a0e67e,"gym paris, fitness center paris, personal trainer paris, weight loss paris, fitness classes paris"
388e2de8a1e44b23883ec6b47c6e6b53,"student gym london, cheap gym london students, university gym membership, fitness london students, student fitness deals"
3204e922519f43b48f8bf6cb9528786f,"palestra roma, fitness roma, gym roma centro, personal trainer roma, allenamento funzionale roma"
60cf2fe285ea42cdadcead4807067ef6,"fitness studio munich, gym munich, personal trainer munich, fitness classes munich, workout munich"
18077cacb1ec48b79b76964922d26061,"gym los angeles, fitness los angeles, health club los angeles, personal trainer los angeles, weight loss los angeles"
4a611e7bef4c4acda430fb6ccd774253,"ジム 東京, フィットネス 東京, トレーニング 東京, パーソナルトレーニング 東京, 健康 東京"
29fc24823fff4104a2dc99e62b1d8291,"gym london, fitness london, best gym london, affordable gym london, gym membership london"
8f3d8d62cd864391bc7bf11f1a9f6fa5,"fitness studio munich, gym near me munich, young professional gym munich, affordable gym munich, best gym munich city center"
1580e9e164284c848bfe7fae5533499e,"gym los angeles, fitness los angeles, personal trainer los angeles, best gym la, workout classes los angeles"
fd6b81cd6d0c4d58939cf38ea8d3114b,"gym london, fitness london, best gym central london, affordable gym, young professional gym"
8b2a70b0e50f471b9da70adb575929ee,"student gym berlin, cheap gym berlin students, fitness student berlin, student discounts gym berlin, university gym berlin"
c86e9bdaee384a1f9c5099a530a3a9ca,"gym los angeles, fitness center downtown la, personal trainer los angeles, young professional gym, affordable gym la"
